sample,concentration,use_in_fit,n_substitutions,n_variants,censored,probability escape
LibA-230331-293T-E2-nAH1-0.05,0.05,True,0,9016,"censored to [0, 1]",0.6283
LibA-230331-293T-E2-nAH1-0.05,0.05,True,1,46450,"censored to [0, 1]",0.6305
LibA-230331-293T-E2-nAH1-0.05,0.05,True,2,15393,"censored to [0, 1]",0.616
LibA-230331-293T-E2-nAH1-0.05,0.05,True,>2,2619,"censored to [0, 1]",0.6039
LibA-230331-293T-E2-nAH1-0.1,0.1,True,0,9029,"censored to [0, 1]",0.4103
LibA-230331-293T-E2-nAH1-0.1,0.1,True,1,46528,"censored to [0, 1]",0.4311
LibA-230331-293T-E2-nAH1-0.1,0.1,True,2,15431,"censored to [0, 1]",0.435
LibA-230331-293T-E2-nAH1-0.1,0.1,True,>2,2625,"censored to [0, 1]",0.4204
LibA-230331-293T-E2-nAH1-0.2,0.2,True,0,9056,"censored to [0, 1]",0.0956
LibA-230331-293T-E2-nAH1-0.2,0.2,True,1,47127,"censored to [0, 1]",0.1478
LibA-230331-293T-E2-nAH1-0.2,0.2,True,2,15718,"censored to [0, 1]",0.1757
LibA-230331-293T-E2-nAH1-0.2,0.2,True,>2,2684,"censored to [0, 1]",0.1772
LibA-230331-293T-E2-nAH1-0.05,0.05,True,0,9016,not censored,0.6812
LibA-230331-293T-E2-nAH1-0.05,0.05,True,1,46450,not censored,0.6921
LibA-230331-293T-E2-nAH1-0.05,0.05,True,2,15393,not censored,0.6915
LibA-230331-293T-E2-nAH1-0.05,0.05,True,>2,2619,not censored,0.6967
LibA-230331-293T-E2-nAH1-0.1,0.1,True,0,9029,not censored,0.4314
LibA-230331-293T-E2-nAH1-0.1,0.1,True,1,46528,not censored,0.461
LibA-230331-293T-E2-nAH1-0.1,0.1,True,2,15431,not censored,0.4822
LibA-230331-293T-E2-nAH1-0.1,0.1,True,>2,2625,not censored,0.4698
LibA-230331-293T-E2-nAH1-0.2,0.2,True,0,9056,not censored,0.1061
LibA-230331-293T-E2-nAH1-0.2,0.2,True,1,47127,not censored,0.1907
LibA-230331-293T-E2-nAH1-0.2,0.2,True,2,15718,not censored,0.2432
LibA-230331-293T-E2-nAH1-0.2,0.2,True,>2,2684,not censored,0.2508
