sample,concentration,use_in_fit,n_substitutions,n_variants,censored,probability escape
LibA-230725-HENV32-1.0,1,False,0,9210,"censored to [0, 1]",0.5962
LibA-230725-HENV32-1.0,1,False,1,44230,"censored to [0, 1]",0.4859
LibA-230725-HENV32-1.0,1,False,2,13301,"censored to [0, 1]",0.4194
LibA-230725-HENV32-1.0,1,False,>2,2037,"censored to [0, 1]",0.3931
LibA-230725-HENV32-2.5,2.5,True,0,9209,"censored to [0, 1]",0.03889
LibA-230725-HENV32-2.5,2.5,True,1,44638,"censored to [0, 1]",0.05484
LibA-230725-HENV32-2.5,2.5,True,2,13569,"censored to [0, 1]",0.06938
LibA-230725-HENV32-2.5,2.5,True,>2,2096,"censored to [0, 1]",0.08062
LibA-230725-HENV32-1.0,1,False,0,9210,not censored,0.6303
LibA-230725-HENV32-1.0,1,False,1,44230,not censored,0.535
LibA-230725-HENV32-1.0,1,False,2,13301,not censored,0.4835
LibA-230725-HENV32-1.0,1,False,>2,2037,not censored,0.4815
LibA-230725-HENV32-2.5,2.5,True,0,9209,not censored,0.04019
LibA-230725-HENV32-2.5,2.5,True,1,44638,not censored,0.08503
LibA-230725-HENV32-2.5,2.5,True,2,13569,not censored,0.1292
LibA-230725-HENV32-2.5,2.5,True,>2,2096,not censored,0.1724
