sample,library,date,fastq_R1,notes
LibA-221115-293T,LibA,11/15/22,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/221117_VH00319_298_AACGHC3M5/Unaligned/Project_blarsen/BL_221115_Niv-A-CTL_S5_R1_001.fastq.gz;/fh/fast/bloom_j/SR/ngs/illumina/blarsen/221117_VH00319_298_AACGHC3M5/Unaligned/Project_blarsen/BL_221115_NiV-A_S3_R1_001.fastq.gz,
LibA-221115-293T-m102-0.1,LibA,11/15/22,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/221117_VH00319_298_AACGHC3M5/Unaligned/Project_blarsen/BL_221115_Niv-A_m102_100ng_S7_R1_001.fastq.gz,
LibA-221115-293T-m102-0.6,LibA,11/15/22,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/221117_VH00319_298_AACGHC3M5/Unaligned/Project_blarsen/BL_221115_Niv-A_m102_600ng_S8_R1_001.fastq.gz,
LibA-221115-293T-VSV,LibA,11/15/22,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/221117_VH00319_298_AACGHC3M5/Unaligned/Project_blarsen/BL_221115_VSV-A_S1_R1_001.fastq.gz,
LibA-230331-293T,LibA,3/31/23,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/230331_VH00319_336_AACKKJYM5/Unaligned/Project_blarsen/5_LibA_NiV_CTL_S5_R1_001.fastq.gz,
LibA-230331-293T_BatE2-0.05,LibA,3/31/23,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/230331_VH00319_336_AACKKJYM5/Unaligned/Project_blarsen/2_LibA_BatE2_50_S2_R1_001.fastq.gz,
LibA-230331-293T_BatE2-0.1,LibA,3/31/23,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/230331_VH00319_336_AACKKJYM5/Unaligned/Project_blarsen/3_LibA_BatE2_100_S3_R1_001.fastq.gz,
LibA-230331-293T_BatE3-0.1,LibA,3/31/23,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/230331_VH00319_336_AACKKJYM5/Unaligned/Project_blarsen/4_LibA_BatE3_100_S4_R1_001.fastq.gz,
LibA-230331-293T_E2,LibA,3/31/23,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/230331_VH00319_336_AACKKJYM5/Unaligned/Project_blarsen/11_LibA_NiV_CTL_S10_R1_001.fastq.gz,
LibA-230331-293T_HumanE2-2.2,LibA,3/31/23,/fh/fast/bloom_j/SR/ngs/illumina/blarsen/230331_VH00319_336_AACKKJYM5/Unaligned/Project_blarsen/6_LibA_HSE2_2200_S6_R1_001.fastq.gz,
